1: ['2:21:11', '1992', 'm', 'u']
2: ['2:25:25', '1991', 'm', 'u']
3: ['2:29:09', '1998', 'm', 'u']
4: ['2:29:23', '1998', 'm', 'u']
6: ['2:35:49', '1982', 'm', 'u']
7: ['2:35:54', '1995', 'm', 'u']
8: ['2:36:06', '1988', 'm', 'u']
9: ['2:37:27', '1992', 'm', 'u']
10: ['2:37:38', '1987', 'm', 'u']
11: ['2:37:47', '1984', 'm', 'u']
12: ['2:40:48', '1985', 'm', 'u']
13: ['2:41:17', '1997', 'm', 'u']
14: ['2:41:19', '1975', 'm', 'u']
15: ['2:43:59', '1985', 'm', 'u']
16: ['2:44:47', '1994', 'm', 'u']
17: ['2:45:16', '1997', 'm', 'u']
18: ['2:45:18', '1992', 'm', 'u']
19: ['2:45:25', '1991', 'm', 'u']
20: ['2:45:37', '1998', 'm', 'u']
21: ['2:46:38', '1995', 'm', 'u']
22: ['2:46:50', '1996', 'm', 'u']
23: ['2:47:34', '1998', 'm', 'u']
24: ['2:47:38', '1998', 'm', 'u']
25: ['2:47:39', '1981', 'm', 'u']
26: ['2:47:51', '1978', 'm', 'u']
27: ['2:47:57', '1991', 'm', 'u']
28: ['2:48:15', '1987', 'm', 'u']
29: ['2:48:44', '1985', 'w', 'u']
30: ['2:49:00', '1981', 'm', 'u']
31: ['2:49:16', '1987', 'm', 'u']
32: ['2:49:27', '2001', 'm', 'u']
33: ['2:49:46', '1986', 'm', 'u']
34: ['2:50:38', '1989', 'm', 'u']
35: ['2:51:26', '1991', 'm', 'u']
36: ['2:51:30', '1997', 'm', 'u']
37: ['2:52:11', '1996', 'm', 'u']
38: ['2:52:34', '1988', 'w', 'u']
39: ['2:53:03', '2002', 'm', 'u']
40: ['2:53:04', '1992', 'm', 'u']
41: ['2:53:31', '1988', 'm', 'u']
42: ['2:53:46', '1972', 'm', 'u']
43: ['2:54:15', '1992', 'm', 'u']
44: ['2:55:04', '1978', 'm', 'u']
45: ['2:55:10', '1998', 'm', 'u']
46: ['2:55:17', '1995', 'w', 'u']
47: ['2:55:35', '1977', 'm', 'u']
48: ['2:55:39', '1981', 'm', 'u']
49: ['2:55:59', '1992', 'm', 'u']
50: ['2:56:15', '1983', 'm', 'u']
51: ['2:56:36', '1994', 'm', 'u']
52: ['2:56:36', '1985', 'm', 'u']
53: ['2:56:52', '1985', 'm', 'u']
54: ['2:56:52', '1993', 'm', 'u']
55: ['2:57:26', '1971', 'm', 'u']
56: ['2:57:28', '1981', 'm', 'u']
57: ['2:57:36', '1990', 'm', 'u']
58: ['2:57:38', '1980', 'm', 'u']
59: ['2:57:53', '1995', 'm', 'u']
61: ['2:58:08', '1983', 'm', 'u']
62: ['2:58:09', '1987', 'm', 'u']
63: ['2:58:24', '1971', 'm', 'u']
64: ['2:58:43', '1994', 'm', 'u']
65: ['2:59:13', '1998', 'm', 'u']
66: ['2:59:16', '2002', 'm', 'u']
67: ['3:00:03', '1994', 'm', 'u']
68: ['3:00:17', '1995', 'm', 'u']
69: ['3:00:48', '1974', 'm', 'u']
70: ['3:01:07', '1989', 'm', 'u']
71: ['3:01:09', '1990', 'm', 'u']
72: ['3:02:11', '1972', 'm', 'u']
73: ['3:02:24', '1985', 'm', 'u']
74: ['3:02:26', '1990', 'm', 'u']
75: ['3:02:26', '2001', 'm', 'u']
76: ['3:02:29', '1997', 'm', 'u']
77: ['3:02:44', '1990', 'm', 'u']
78: ['3:02:47', '1990', 'm', 'u']
79: ['3:03:08', '1987', 'm', 'u']
80: ['3:03:10', '1972', 'm', 'u']
81: ['3:03:16', '1993', 'm', 'u']
82: ['3:03:19', '2000', 'm', 'u']
83: ['3:03:21', '2002', 'm', 'u']
84: ['3:03:37', '1988', 'm', 'u']
85: ['3:03:42', '1997', 'm', 'u']
86: ['3:04:40', '1966', 'm', 'u']
87: ['3:04:44', '1981', 'm', 'u']
88: ['3:05:10', '1987', 'm', 'u']
89: ['3:05:10', '1972', 'm', 'u']
90: ['3:05:12', '1995', 'm', 'u']
91: ['3:05:26', '1982', 'm', 'u']
92: ['3:05:40', '1985', 'm', 'u']
93: ['3:05:46', '1974', 'm', 'u']
