1: ['2:10:02', '1998', 'M', 'KEN']
2: ['2:15:29', '2002', 'U', 'ETH']
3: ['2:19:00', '1988', 'M', 'KEN']
4: ['2:26:13', '1985', 'M', 'KEN']
5: ['2:29:44', '1998', 'W', 'ETH']
6: ['2:32:21', '1986', 'M', 'KEN']
7: ['2:32:37', '1988', 'M', 'GER']
8: ['2:34:01', '1986', 'W', 'KEN']
9: ['2:35:44', '1990', 'W', 'ETH']
10: ['2:36:17', '1990', 'M', 'ASG']
11: ['2:36:23', '1990', 'M', 'GER']
12: ['2:37:11', '1996', 'M', 'GER']
13: ['2:37:33', '1987', 'M', 'ASV']
14: ['2:38:14', '1990', 'M', 'GER']
15: ['2:38:22', '1985', 'M', 'GER']
16: ['2:38:46', '1993', 'M', 'LMU']
17: ['2:39:21', '1996', 'M', 'GER']
18: ['2:39:34', '1984', 'M', 'GER']
19: ['2:39:51', '1994', 'M', 'FCN']
20: ['2:41:15', '1991', 'M', 'GER']
21: ['2:41:30', '1980', 'M', 'GER']
22: ['2:41:30', '1982', 'M', 'GER']
23: ['2:42:14', '1990', 'M', 'TNB']
24: ['2:44:08', '1996', 'M', 'DAV']
25: ['2:44:10', '1996', 'M', 'AUT']
26: ['2:44:34', '1986', 'M', 'GER']
27: ['2:44:47', '1988', 'M', 'ITA']
28: ['2:44:49', '1983', 'M', 'ULT']
29: ['2:45:22', '1992', 'M', 'GER']
30: ['2:45:42', '1990', 'M', 'POL']
31: ['2:46:37', '1990', 'M', 'BEL']
32: ['2:46:54', '1995', 'M', 'GER']
33: ['2:47:03', '1982', 'M', 'ESP']
34: ['2:47:05', '2001', 'M', 'GER']
35: ['2:47:21', '1997', 'M', 'GER']
36: ['2:47:31', '1988', 'M', 'ITA']
37: ['2:47:51', '1985', 'M', 'ASG']
38: ['2:48:14', '1987', 'M', 'FIF']
39: ['2:48:18', '1989', 'M', 'GER']
40: ['2:48:30', '1990', 'M', 'GER']
41: ['2:48:37', '1981', 'M', 'GER']
42: ['2:48:37', '2003', 'U', 'MEX']
43: ['2:48:38', '1991', 'M', 'ESP']
44: ['2:48:39', '1998', 'M', 'TUS']
45: ['2:48:42', '1994', 'M', 'JPN']
46: ['2:48:45', '1982', 'M', 'GER']
47: ['2:49:06', '1995', 'M', 'CZE']
48: ['2:49:06', '1981', 'M', 'GER']
49: ['2:49:18', '2000', 'M', 'AUT']
50: ['2:49:19', '1995', 'M', 'ASL']
51: ['2:49:25', '1996', 'M', 'ASD']
52: ['2:49:31', '1980', 'M', 'ROU']
53: ['2:49:39', '1987', 'M', 'GER']
54: ['2:49:41', '2001', 'M', 'GER']
55: ['2:49:43', '1979', 'M', 'SIG']
56: ['2:49:51', '1970', 'M', 'GER']
57: ['2:49:54', '1991', 'M', 'CZE']
58: ['2:49:58', '1979', 'M', 'GER']
59: ['2:50:20', '1973', 'M', 'ITA']
60: ['2:50:35', '1980', 'M', 'IFK']
61: ['2:50:43', '1985', 'M', 'NOR']
62: ['2:50:48', '1992', 'M', 'GER']
63: ['2:50:49', '1983', 'M', 'RSA']
64: ['2:50:53', '1982', 'M', 'RUS']
65: ['2:51:09', '1983', 'M', 'ASG']
66: ['2:51:12', '1990', 'M', 'GER']
67: ['2:51:15', '1976', 'M', 'AUS']
68: ['2:51:20', '1992', 'M', 'FRA']
69: ['2:51:36', '1992', 'M', 'GER']
70: ['2:51:40', '1997', 'W', 'GER']
71: ['2:51:42', '1985', 'M', 'SUI']
72: ['2:51:48', '1995', 'M', 'GER']
73: ['2:52:06', '1991', 'M', 'GER']
74: ['2:52:47', '1985', 'M', 'ESP']
75: ['2:52:49', '1976', 'M', 'ITA']
76: ['2:53:06', '1997', 'M', 'GER']
77: ['2:53:10', '1979', 'M', 'GER']
78: ['2:53:15', '1990', 'M', 'FRA']
79: ['2:53:22', '1974', 'M', 'GER']
80: ['2:53:26', '1981', 'M', 'AUT']
81: ['2:53:28', '1977', 'M', 'GER']
82: ['2:53:32', '1999', 'M', 'GBR']
83: ['2:53:50', '1986', 'M', 'FRA']
84: ['2:53:51', '2001', 'M', 'GER']
85: ['2:53:57', '1980', 'M', 'ESP']
86: ['2:54:00', '1963', 'M', 'GER']
87: ['2:54:07', '1998', 'W', 'ETH']
88: ['2:54:28', '1987', 'M', 'CZE']
